ds	y	yhat
2024-01-01	5.055	4.603631240626639
2024-02-01	4.264	4.170715796425213
2024-03-01	3.742	3.9157473651410455
2024-04-01	3.576	3.780345055353784
2024-05-01	3.237	3.606231778666915
2024-06-01	2.977	3.2883569924997076
2024-07-01	3.116	3.2273311681143815
2024-08-01	3.347	3.4541393717267788
2024-09-01	3.742	3.466039037822834
2024-10-01	3.718	4.057030149179992
2024-11-01	4.42	4.369473182453369
2024-12-01	4.857	4.529240958872984
